date,title,amount
2024-03-29,"IOF de ""Pagopa""",2.62
2024-03-29,Pagamento recebido,-699.24
2024-03-29,Pagopa,59.86
2024-03-20,Google Youtubepremium,41.90
2024-03-13,Sua Academia,129.90
2024-03-10,Uber* Trip,13.97
2024-03-09,Churrascaria Estancia,102.85
2024-03-06,99*,6.00
2024-03-04,Coco Bambu Jk,359.37
2024-03-04,Pagamento recebido,-240.00
2024-03-04,Uber rolê FEA,14.62
2024-03-03,Atletica Fea Usp,20.00
2024-03-03,MC pós rolê FEA,12.50
2024-02-28,7050 Shop Center Paul - Parcela 3/3,36.50
2024-02-28,Baw Clothing - 2 - Parcela 9/12,13.68
2024-02-28,Pagamento recebido,-542.73
2024-02-28,Pg*Carrefour - Parcela 2/3,58.66
2024-02-28,Vindi *Pratade15reais - Parcela 3/10,9.31
2024-02-28,Pg *Usaflex Usaflex - Parcela 4/4,57.50
